id_produit,nom_produit,marque,categorie,sous_categorie,type_emballage,poids_net,volume,energie_kcal,energie_kj,lipides,acides_gras_satures,acides_gras_mono_insatures,acides_gras_poly_insatures,cholesterol,glucides,sucres,amidon,fibres_alimentaires,proteines,sel,sodium,calcium,fer,magnesium,zinc,vitamine_a,vitamine_c,vitamine_d,vitamine_b1,vitamine_b2,vitamine_b3,vitamine_b6,vitamine_b12,vitamine_e,vitamine_k,omega_3,omega_6,ingredients,additifs,allergenes,certifications,pays_origine,lieu_fabrication,instructions_conservation,mode_preparation,date_expiration,code_barres,site_internet_marque,service_client_contact
1000,Poisson Carrefour tradition,Carrefour,Conserves,Poisson,Boîte carton,114g,,303.6 kcal,535.8 kJ,18.8g,11.7g,10.0g,,25.5mg,39.9g,12.2g,,3.3g,,4.1g,,71.7mg,,38.1mg,1.5mg,704.9µg,14.0mg,6.1µg,1.9mg,,15.1mg,1.6mg,,0.2mg,8.0µg,,9.0g,"Ingrédient12 (42.9%), Ingrédient20 (44.5%), Ingrédient21 (23.8%), Ingrédient29 (13.7%), Ingrédient1 (5.0%), Ingrédient28 (41.0%), Ingrédient17 (31.0%), Ingrédient45 (47.7%), Ingrédient21 (42.8%)",,Moutarde,"Végan, Sans gluten",Belgique,Espagne,À conserver dans un endroit frais et sec,À cuire 10 minutes à la poêle,9/6/2025,6078841568733,www.carrefour.com,contact@carrefour.com
1001,Le soda Bonduelle,Bonduelle,Boissons,Soda,Pot en verre,,3.9L,,,28.7g,,4.5g,2.6g,44.4mg,,18.0g,,2.1g,21.6g,,314.3mg,251.5mg,7.1mg,,2.6mg,155.6µg,,5.9µg,2.0mg,,13.6mg,2.0mg,4.7µg,1.0mg,44.3µg,0.8g,0.9g,"Ingrédient3 (8.5%), Ingrédient20 (15.9%), Ingrédient41 (46.2%), Ingrédient38 (46.2%), Ingrédient47 (20.1%), Ingrédient9 (10.6%), Ingrédient35 (1.3%), Ingrédient45 (30.7%)","E440, E300, E300, E120","Soja, Fruits à coque",,Portugal,Italie,À conserver au réfrigérateur entre 0°C et 4°C,À diluer dans de l'eau,25/7/2025,2661766859758,www.bonduelle.com,contact@bonduelle.com
1002,Cristaline - Standard spécial,Cristaline,Fromages,Standard,Pot en verre,1795g,,540.9 kcal,1398.9 kJ,1.0g,1.8g,,1.7g,10.9mg,,8.6g,,6.9g,24.8g,4.5g,11.9mg,56.9mg,8.9mg,18.5mg,0.9mg,50.7µg,83.3mg,,1.7mg,1.9mg,16.8mg,1.2mg,1.7µg,7.9mg,73.1µg,1.7g,2.5g,"Ingrédient9 (11.4%), Ingrédient16 (12.0%), Ingrédient20 (36.4%), Ingrédient39 (30.8%), Ingrédient4 (15.7%), Ingrédient40 (1.4%), Ingrédient50 (19.7%), Ingrédient25 (41.8%)","E330, E101, E415, E471","Lupin, Crustacés, Moutarde",,Royaume-Uni,Italie,À conserver au réfrigérateur entre 0°C et 4°C,Cuire à l'eau bouillante pendant 10 minutes,26/2/2025,5100163002365,www.cristaline.com,contact@cristaline.com
1003,Kellogg's pizza premium,Kellogg's,Surgelés,Pizza,Pot en verre,688g,,,,20.6g,7.6g,14.5g,2.5g,19.5mg,31.0g,7.3g,27.4g,2.6g,21.4g,4.9g,,95.6mg,10.3mg,36.0mg,2.2mg,,14.6mg,6.6µg,0.2mg,,2.2mg,1.6mg,,14.8mg,49.6µg,,1.2g,"Ingrédient48 (48.8%), Ingrédient3 (42.4%), Ingrédient23 (31.2%), Ingrédient33 (6.9%), Ingrédient1 (11.0%), Ingrédient26 (26.9%), Ingrédient4 (46.8%), Ingrédient25 (4.1%), Ingrédient35 (2.1%), Ingrédient25 (13.0%), Ingrédient16 (28.5%), Ingrédient43 (15.4%), Ingrédient3 (47.4%), Ingrédient11 (8.0%)","E102, E202, E104",,,Royaume-Uni,Belgique,À conserver à température ambiante,Prêt à consommer,1/3/2025,1232729472839,www.kellogg's.com,contact@kellogg's.com
1004,Fleury Michon - Standard spécial,Fleury Michon,Riz,Standard,Conserve,759g,,,391.0 kJ,22.9g,4.6g,6.8g,4.2g,39.6mg,20.3g,,21.6g,4.7g,14.6g,1.9g,799.7mg,268.5mg,5.1mg,36.4mg,4.0mg,574.3µg,59.7mg,4.1µg,0.6mg,0.8mg,6.0mg,0.6mg,2.9µg,2.1mg,,2.4g,,"Ingrédient37 (23.2%), Ingrédient8 (39.4%), Ingrédient48 (47.9%), Ingrédient26 (26.3%), Ingrédient49 (4.1%), Ingrédient3 (36.6%), Ingrédient22 (42.0%), Ingrédient7 (42.5%), Ingrédient10 (25.8%), Ingrédient27 (28.1%), Ingrédient1 (49.4%), Ingrédient42 (12.7%)","E471, E415, E415, E104, E200",,"Bio, Halal",France,Royaume-Uni,À conserver à l'abri de la lumière et de l'humidité,À cuire 10 minutes à la poêle,25/6/2025,3116554702517,www.fleurymichon.com,contact@fleurymichon.com
1005,Pepsi standard premium,Pepsi,Pâtisseries,Standard,Boîte carton,,,104.7 kcal,892.9 kJ,27.8g,19.4g,4.0g,0.6g,22.4mg,,22.6g,22.1g,4.2g,20.8g,2.2g,,58.0mg,11.5mg,,,761.6µg,49.2mg,,1.0mg,,14.0mg,1.5mg,,2.8mg,7.8µg,,7.4g,"Ingrédient34 (49.2%), Ingrédient5 (35.6%), Ingrédient35 (33.7%), Ingrédient49 (4.2%), Ingrédient46 (37.5%), Ingrédient44 (18.7%), Ingrédient13 (1.1%), Ingrédient10 (5.1%), Ingrédient43 (15.8%), Ingrédient44 (33.9%)",,"Fruits à coque, Lupin, Arachide",,Italie,Belgique,À conserver à température ambiante,À décongeler avant consommation,22/1/2025,2721008808774,www.pepsi.com,contact@pepsi.com
1006,Lu - Beurre spécial,Lu,Produits laitiers,Beurre,Conserve,1528g,,,2134.3 kJ,22.0g,14.3g,3.6g,2.2g,,27.6g,,,7.4g,25.2g,,184.8mg,205.8mg,10.8mg,26.7mg,1.1mg,737.9µg,54.4mg,9.8µg,0.5mg,1.4mg,5.1mg,0.8mg,,,36.8µg,2.4g,3.1g,"Ingrédient9 (27.0%), Ingrédient48 (42.1%), Ingrédient30 (12.9%), Ingrédient1 (27.2%), Ingrédient35 (16.4%), Ingrédient25 (20.9%), Ingrédient45 (31.4%), Ingrédient18 (39.6%), Ingrédient41 (1.7%), Ingrédient21 (25.5%), Ingrédient7 (27.7%), Ingrédient43 (29.9%), Ingrédient39 (21.8%), Ingrédient12 (34.5%), Ingrédient39 (6.0%)",E102,,AOP,France,Italie,À conserver au réfrigérateur entre 0°C et 4°C,Cuire à l'eau bouillante pendant 10 minutes,2/7/2025,5663969422010,www.lu.com,contact@lu.com
1007,Standard Cristaline tradition,Cristaline,Charcuterie,Standard,Barquette sous vide,,3.9L,,1895.3 kJ,28.8g,17.9g,,2.0g,16.6mg,28.9g,7.9g,24.6g,14.7g,,4.0g,603.1mg,486.9mg,5.9mg,,,462.1µg,66.5mg,11.8µg,1.2mg,0.2mg,8.6mg,0.2mg,,9.2mg,24.5µg,2.1g,9.9g,"Ingrédient49 (13.6%), Ingrédient11 (23.3%), Ingrédient20 (19.7%), Ingrédient14 (14.6%), Ingrédient27 (35.6%), Ingrédient49 (44.6%), Ingrédient39 (8.4%), Ingrédient20 (32.3%), Ingrédient25 (47.8%), Ingrédient36 (45.0%)","E415, E100, E110, E100","Lait, Fruits à coque","Bio, IGP",Italie,Pays-Bas,À conserver à l'abri de la lumière et de l'humidité,À décongeler avant consommation,2/7/2025,6755461318785,www.cristaline.com,contact@cristaline.com
1008,Lidl standard,Lidl,Riz,Standard,Barquette,230g,,365.4 kcal,1848.1 kJ,37.5g,,11.2g,1.8g,75.3mg,51.0g,14.6g,26.5g,6.2g,6.0g,0.8g,246.6mg,15.4mg,10.6mg,,0.9mg,183.9µg,76.9mg,4.6µg,1.2mg,0.7mg,,1.3mg,,9.3mg,47.7µg,0.5g,2.2g,"Ingrédient21 (22.0%), Ingrédient25 (42.5%), Ingrédient1 (4.5%), Ingrédient34 (1.9%), Ingrédient35 (34.3%), Ingrédient2 (40.6%), Ingrédient42 (31.7%)","E120, E440, E202, E100, E500","Gluten, Lupin",Label Rouge,Italie,Espagne,À conserver à l'abri de la lumière et de l'humidité,À réchauffer 3 minutes au micro-ondes,30/1/2025,5323203715953,www.lidl.com,contact@lidl.com
1009,Maggi oignon premium,Maggi,Légumes,Oignon,Pot en verre,519g,,198.5 kcal,2260.3 kJ,7.7g,,9.9g,3.9g,90.1mg,60.5g,15.0g,12.8g,12.3g,,0.3g,899.6mg,134.6mg,4.1mg,54.1mg,3.7mg,71.6µg,16.5mg,2.1µg,0.4mg,0.7mg,,,,2.8mg,9.1µg,2.5g,4.5g,"Ingrédient24 (12.1%), Ingrédient14 (35.0%), Ingrédient34 (48.9%), Ingrédient33 (26.3%), Ingrédient18 (33.4%), Ingrédient36 (28.3%), Ingrédient40 (33.9%), Ingrédient34 (42.3%), Ingrédient32 (3.6%), Ingrédient48 (13.6%), Ingrédient43 (29.1%), Ingrédient23 (34.6%), Ingrédient33 (33.4%), Ingrédient39 (4.6%), Ingrédient21 (15.7%)","E440, E101, E104, E100, E330","Moutarde, Lupin","AOP, Sans gluten",Pays-Bas,France,À conserver à l'abri de la lumière et de l'humidité,À cuire 10 minutes à la poêle,29/3/2025,1277512802275,www.maggi.com,contact@maggi.com
